iter	Passed	Remaining
220	1018	3590
221	1022	3582
222	1025	3572
223	1028	3563
224	1031	3554
225	1039	3561
226	1043	3553
227	1047	3546
228	1050	3537
229	1054	3528
230	1057	3520
231	1062	3516
232	1065	3507
233	1068	3498
234	1071	3489
235	1075	3480
236	1078	3472
237	1081	3464
238	1085	3456
239	1089	3449
240	1092	3441
241	1096	3433
242	1099	3425
243	1103	3417
244	1106	3410
245	1110	3403
246	1113	3396
247	1117	3387
248	1120	3379
249	1123	3370
250	1127	3364
251	1131	3357
252	1134	3349
253	1137	3342
254	1141	3334
255	1144	3327
256	1148	3319
257	1152	3313
258	1155	3306
259	1159	3299
260	1162	3292
261	1165	3284
262	1169	3276
263	1173	3270
264	1176	3262
265	1179	3255
266	1185	3255
267	1189	3249
268	1194	3246
269	1198	3240
270	1202	3233
271	1205	3226
272	1208	3218
273	1212	3211
274	1215	3203
275	1220	3202
276	1224	3196
277	1228	3190
278	1231	3183
279	1235	3176
280	1238	3170
281	1243	3166
282	1247	3159
283	1250	3152
284	1253	3145
285	1257	3139
286	1261	3133
287	1266	3130
288	1270	3124
289	1273	3118
290	1277	3111
291	1280	3105
292	1284	3099
293	1289	3096
294	1292	3089
295	1296	3083
296	1299	3076
297	1303	3070
298	1307	3064
299	1311	3060
300	1315	3055
301	1319	3049
302	1323	3043
303	1326	3037
304	1331	3032
305	1335	3028
306	1338	3021
307	1341	3014
308	1345	3007
309	1348	3001
310	1352	2995
311	1356	2990
312	1360	2985
313	1363	2979
314	1367	2973
315	1371	2967
316	1374	2962
317	1378	2957
318	1382	2950
319	1386	2945
320	1389	2939
321	1393	2933
322	1396	2927
323	1402	2925
324	1405	2919
325	1409	2914
326	1413	2909
327	1417	2903
328	1421	2898
329	1424	2892
330	1428	2887
331	1432	2882
332	1436	2876
333	1439	2871
334	1444	2866
335	1448	2861
336	1451	2856
337	1455	2849
338	1458	2844
339	1462	2839
340	1466	2833
341	1470	2828
342	1473	2823
343	1477	2817
344	1481	2812
345	1486	2809
346	1490	2804
347	1494	2800
348	1498	2794
349	1501	2788
350	1505	2783
351	1509	2778
352	1513	2773
353	1516	2767
354	1520	2762
355	1523	2756
356	1527	2750
357	1531	2745
358	1534	2739
359	1538	2734
360	1542	2729
361	1545	2724
362	1549	2718
363	1552	2713
364	1557	2709
365	1561	2705
366	1565	2700
367	1568	2694
368	1572	2689
369	1576	2684
370	1580	2679
371	1584	2674
372	1587	2669
373	1591	2663
374	1594	2658
375	1598	2653
376	1602	2647
377	1606	2642
378	1609	2637
379	1613	2632
380	1616	2627
381	1620	2621
382	1623	2616
383	1627	2611
384	1631	2605
385	1634	2600
386	1638	2595
387	1641	2589
388	1645	2584
389	1649	2580
390	1653	2575
391	1657	2570
392	1660	2565
393	1664	2560
394	1668	2555
395	1673	2552
396	1677	2547
397	1681	2542
398	1684	2537
399	1688	2532
400	1692	2527
401	1696	2523
402	1699	2517
403	1703	2513
404	1707	2508
405	1711	2503
406	1714	2498
407	1719	2495
408	1723	2490
409	1727	2485
410	1730	2480
411	1734	2475
412	1737	2470
413	1741	2465
414	1745	2460
415	1748	2454
416	1752	2449
417	1755	2444
418	1759	2439
419	1762	2434
420	1766	2429
421	1770	2424
422	1774	2420
423	1778	2415
424	1781	2410
